eventID,Data,Hora_Brasilia,Hora_UTC,Latitude_Original,Longitude_Original,Magnitude,Tipo_Magnitude,Profundidade_km,Fases_Ondas,Estacoes_Detectaram,Autor_Analise,Codigo_Estacao,Localidade_Estacao,Latitude_Estacao_Original,Longitude_Estacao_Original,Elevacao_Estacao,Cidade_Estacao,Rede_Sismologica,Fase_Sismica,Distancia_Estacao_graus,Azimute_Estacao,Residual_Tempo,Peso_Arrival
Origin/20251017140913.720724.11357,16/10/2025,23:50:01,02:50:01,-5.279,-35.02883333,3.1,M,0.0,11,8,scolv@sysop-VirtualBox,NBMO,"Morrinhos- CE, Brazil",-3.31032,-40.043,104,"Morrinhos- CE",RSISNE,P,5.378244605,249,-1.94,1
Origin/20251017140913.720724.11357,16/10/2025,23:50:01,02:50:01,-5.279,-35.02883333,3.1,M,0.0,11,8,scolv@sysop-VirtualBox,NBMO,"Sitio Alegre,Distrito de Morrinhos,CE,Brasil",-3.31032,-40.043,108,"Sitio Alegre",LABSIS,P,5.378244605,249,-1.94,1
Origin/20251017140913.720724.11357,16/10/2025,23:50:01,02:50:01,-5.279,-35.02883333,3.1,M,0.0,11,8,scolv@sysop-VirtualBox,NBMO,"Sitio Alegre,Distrito de Morrinhos,CE,Brasil",-3.31032,-40.043,108,"Sitio Alegre",LABSIS,S,5.378244605,249,1.33,1
Origin/20251017140913.720724.11357,16/10/2025,23:50:01,02:50:01,-5.279,-35.02883333,3.1,M,0.0,11,8,scolv@sysop-VirtualBox,NBMO,"Morrinhos- CE, Brazil",-3.31032,-40.043,104,"Morrinhos- CE",RSISNE,S,5.378244605,249,1.33,1
Origin/20251014145917.884538.50486,14/10/2025,10:14:16,13:14:16,-12.591,-45.59416667,4.5,M,0.0,33,29,scolv@sysop-VirtualBox,NBIT,"Itape-BA, Brazil",-14.930689,-39.434579,188,Itape-BA,RSISNE,P,6.431038011,69,0.73,1
Origin/20251014145917.884538.50486,14/10/2025,10:14:16,13:14:16,-12.591,-45.59416667,4.5,M,0.0,33,29,scolv@sysop-VirtualBox,NBIT,"Itape-BA, Brazil",-14.930689,-39.434579,188,Itape-BA,RSISNE,S,6.431038011,69,4.65,0
Origin/20251014145917.884538.50486,14/10/2025,10:14:16,13:14:16,-12.591,-45.59416667,4.5,M,0.0,33,29,scolv@sysop-VirtualBox,NBPN,"Ponto Novo- BA, Brasil",-10.84846,-40.19927,386,"Ponto Novo- BA",RSISNE,P,5.569906994,108,1.31,1
Origin/20251014145917.884538.50486,14/10/2025,10:14:16,13:14:16,-12.591,-45.59416667,4.5,M,0.0,33,29,scolv@sysop-VirtualBox,NBPN,"Ponto Novo- BA, Brasil",-10.84846,-40.19927,386,"Ponto Novo- BA",RSISNE,S,5.569906994,108,3.22,1
Origin/20251014145917.884538.50486,14/10/2025,10:14:16,13:14:16,-12.591,-45.59416667,4.5,M,0.0,33,29,scolv@sysop-VirtualBox,NBPS,"Pedro Segundo- PI, Brazil",-4.393997,-41.445708,712,"Pedro Segundo- PI",RSISNE,P,9.134107577,153,-0.66,1
Origin/20251014145917.884538.50486,14/10/2025,10:14:16,13:14:16,-12.591,-45.59416667,4.5,M,0.0,33,29,scolv@sysop-VirtualBox,NBPS,"Pedro Segundo- PI, Brazil",-4.393997,-41.445708,712,"Pedro Segundo- PI",RSISNE,S,9.134107577,153,6.2,0
Origin/20251013135824.715125.44505,13/10/2025,10:07:28,13:07:28,-3.274833333,-40.221,1.6,M,0.0,7,6,scolv@sysop-VirtualBox,NBMO,"Sitio Alegre,Distrito de Morrinhos,CE,Brasil",-3.31032,-40.043,108,"Sitio Alegre",LABSIS,P,0.1817643316,79,0.06,1
